sep=,
DeviceTag:,Foot_01,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
StartTime:,2023-02-19 14:17:33.000 -0500,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
39, 4127766065, -7.1816511154174805, -86.1455307006836, -159.61729431152344, 9.898086547851562, -0.12389721721410751, 0.7022801041603088, -1.1953189373016357, -0.9731544852256775, 0.39740023016929626, 
40, 4127782732, -7.306247234344482, -86.15743255615234, -159.50160217285156, 9.918103218078613, -0.10171093791723251, 0.6769645810127258, -0.8843424320220947, -0.8375481963157654, 0.16847394406795502, 
41, 4127799399, -7.442814350128174, -86.17208862304688, -159.37841796875, 9.894371032714844, -0.11054562032222748, 0.6656616926193237, -0.9766761660575867, -0.9942978620529175, 0.1945604681968689, 
42, 4127816066, -7.599524021148682, -86.18864440917969, -159.23719787597656, 9.910308837890625, -0.12718777358531952, 0.6716912984848022, -1.0647584199905396, -1.1175589561462402, 0.2551857531070709, 
43, 4127832733, -7.761738300323486, -86.2061538696289, -159.09359741210938, 9.904165267944336, -0.15095996856689453, 0.6713280081748962, -1.2573275566101074, -1.1824743747711182, 0.25104930996894836, 
44, 4127849400, -7.933432102203369, -86.22358703613281, -158.9571075439453, 9.886871337890625, -0.16294576227664948, 0.6538917422294617, -1.520395278930664, -1.197495937347412, 0.25740116834640503, 
45, 4127866067, -8.10277271270752, -86.23906707763672, -158.80197143554688, 9.924403190612793, -0.14455844461917877, 0.6356799602508545, -1.6131517887115479, -1.0475465059280396, 0.2520865797996521, 
46, 4127882734, -8.239444732666016, -86.24866485595703, -158.69247436523438, 9.92141342163086, -0.14029721915721893, 0.6793610453605652, -1.7131949663162231, -0.6726022362709045, 0.1610974669456482, 
47, 4127899401, -8.349151611328125, -86.25027465820312, -158.61294555664062, 9.9451904296875, -0.09973026067018509, 0.7475486993789673, -1.6055577993392944, -0.2158254086971283, 0.12753203511238098, 
48, 4127916068, -8.496428489685059, -86.2567138671875, -158.49090576171875, 9.879383087158203, -0.2159290611743927, 0.6628281474113464, -1.7808893918991089, -0.5238821506500244, 0.23104575276374817, 
49, 4127932735, -8.666266441345215, -86.26115417480469, -158.3548126220703, 9.89734172821045, -0.16919369995594025, 0.7044684290885925, -2.1797688007354736, -0.4261569380760193, 0.2914533317089081, 
50, 4127949402, -8.815410614013672, -86.26110076904297, -158.24488830566406, 9.870619773864746, -0.21864448487758636, 0.609049379825592, -2.3868603706359863, -0.14645342528820038, 0.23460592329502106, 
51, 4127966069, -8.967772483825684, -86.2607421875, -158.14601135253906, 9.865259170532227, -0.1777552366256714, 0.47727271914482117, -2.6623761653900146, -0.11459121853113174, 0.22014756500720978, 
52, 4127982736, -9.087590217590332, -86.26094818115234, -158.05780029296875, 9.939565658569336, -0.07643736153841019, 0.6430134177207947, -2.5476441383361816, -0.09889063239097595, 0.09084183722734451, 
53, 4127999403, -9.194517135620117, -86.26372528076172, -157.9928436279297, 9.894824981689453, -0.22805234789848328, 0.6344788074493408, -2.0985894203186035, -0.24679116904735565, 0.06072130426764488, 
